City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,turaif,38.6637,31.6725,15.14,58,0,5.14,SA,1683506220
131,lata,-8.3327,40.1629,13.29,90,23,0.96,PT,1683506220
132,oranjemund,16.4333,-28.55,12.26,92,0,3.03,NA,1683506220
133,port elizabeth,25.5701,-33.918,18.16,82,75,3.09,ZA,1683506221
134,qaqortoq,-46.0333,60.7167,1.62,80,100,0.98,GL,1683506221
135,rongelap,166.8941,11.1635,27.4,80,50,7.56,MH,1683506221
136,fort bragg,-79.006,35.139,24.55,62,0,5.66,US,1683506221
137,sao jose da coroa grande,-35.1478,-8.8978,25.32,78,12,2.49,BR,1683506221
138,pijijiapan,-93.23,15.7011,29.14,82,25,1.61,MX,1683506222
139,wellington,174.7756,-41.2866,21.44,75,40,7.2,NZ,1683506222
140,talara,-81.2719,-4.5772,26.42,78,0,3.09,PE,1683506222
141,paracuru,-39.0306,-3.41,26.73,83,12,2.88,BR,1683506222
142,college,-147.8028,64.8569,12.18,44,75,3.6,US,1683506222
143,tongliao,122.2653,43.6125,21.89,16,59,6.75,CN,1683506223
144,illizi,8.4667,26.4833,28.89,10,29,4.76,DZ,1683506223
145,arraial do cabo,-42.0278,-22.9661,23.84,87,0,5.52,BR,1683506032
146,adria,12.0578,45.0564,17.84,91,99,2.32,IT,1683506223
147,saint-philippe,55.7679,-21.3585,22.77,85,100,4.56,RE,1683506224
148,santiago de cao,-79.2392,-7.9589,24.07,83,75,4.63,PE,1683506224
149,totness,-56.3167,5.8833,24.5,94,100,6.37,SR,1683506225
150,udachny,112.4,66.4167,-6.97,52,19,3.81,RU,1683506225
151,east london,27.9116,-33.0153,19.08,70,100,2.33,ZA,1683506225
152,sinabang,96.3801,2.4803,26.67,84,100,6.16,ID,1683506225
153,gurlan,60.3919,41.8447,13.04,38,0,2.75,UZ,1683506226
154,la sarre,-79.1996,48.8002,8.26,45,0,5.33,CA,1683506226
155,san fernando,120.6898,15.0286,29.85,57,13,1.1,PH,1683506226
156,yuzhno-kurilsk,145.8556,44.0306,1.91,96,100,3.43,RU,1683506226
157,afaahiti,-149.2833,-17.75,28.93,79,100,5.17,PF,1683506226
158,port blair,92.75,11.6667,29.07,74,100,1.27,IN,1683506226
159,anadyr,177.4833,64.75,-0.72,86,20,9.83,RU,1683506226
160,lompoc,-120.4579,34.6391,21.68,77,0,8.94,US,1683506031
161,alice springs,133.8833,-23.7,11.75,32,42,7.72,AU,1683506227
162,st. john's,-52.7093,47.5649,5.66,70,75,7.2,CA,1683506217
163,ubinskoye,79.6802,55.3068,16.41,29,5,3.43,RU,1683506227
164,byron bay,153.6167,-28.65,16.51,31,0,6.04,AU,1683506227
165,aasiaat,-52.8699,68.7098,-2.59,84,95,4.2,GL,1683506227
166,bermejo,-68.8,-32.8833,16.95,51,0,2.06,AR,1683506228
167,nemuro,145.575,43.3236,1.32,98,100,5.34,JP,1683506228
168,wacheng,114.5167,33.7833,20.1,52,99,2.62,CN,1683506228
169,margate,1.3862,51.3813,13.72,92,36,1.34,GB,1683506011
170,ilulissat,-51.1,69.2167,0.01,86,100,0.51,GL,1683506210
171,nar'yan-mar,53.087,67.6713,-7.86,95,40,3.3,RU,1683506228
172,puerto baquerizo moreno,-89.6,-0.9,26.42,86,94,4.7,EC,1683506228
173,vorgashor,63.95,67.5833,-9.53,92,100,8.66,RU,1683506229
174,tobelo,128.0095,1.7284,29.4,72,20,1.02,ID,1683506229
175,turinsk,63.696,58.0458,2.02,60,6,6.5,RU,1683506229
176,san luis de la loma,-100.8939,17.2706,29.13,64,13,3.39,MX,1683506229
177,okhotsk,143.3,59.3833,3.26,77,28,3.51,RU,1683506229
178,minab,57.0801,27.1467,26.03,54,0,0.61,IR,1683506229
179,mejit,170.8646,10.2753,27.49,81,79,8.0,MH,1683506229
180,ilha de mocambique,40.7358,-15.0342,24.63,71,0,5.44,MZ,1683506230
181,ardakan,54.0175,32.31,21.47,16,0,1.24,IR,1683506230
182,siocon,122.1353,7.7061,30.04,69,89,2.47,PH,1683506230
183,usinsk,57.5281,65.9939,-7.99,94,100,8.82,RU,1683506230
184,fisterra,-9.2629,42.9049,14.86,81,100,2.12,ES,1683506230
185,saudarkrokur,-19.6394,65.7461,8.01,88,74,1.33,IS,1683506230
186,el calafate,-72.2768,-50.3408,6.49,71,100,1.42,AR,1683506231
187,puerto deseado,-65.8938,-47.7503,8.58,69,0,5.43,AR,1683506231
188,general villegas,-63.0125,-35.0328,14.4,52,0,2.07,AR,1683506231
189,cadale,46.3222,2.7603,26.94,82,9,7.78,SO,1683506231
190,iquitos,-73.2472,-3.7481,27.02,78,20,1.54,PE,1683506231
191,rio grande,-52.0986,-32.035,19.06,94,100,4.99,BR,1683506231
192,kailua-kona,-155.9956,19.6406,26.98,74,75,3.6,US,1683506231
193,margaret river,115.0667,-33.95,17.13,51,99,7.19,AU,1683506232
194,aykhal,111.5,66.0,-7.98,84,82,3.08,RU,1683506232
195,duminichi,35.1099,53.9345,-1.39,63,5,1.82,RU,1683506232
196,sheregesh,87.9869,52.9209,12.51,56,0,1.12,RU,1683506232
197,kavieng,150.7967,-2.5744,29.78,72,43,3.87,PG,1683506232
198,carnarvon,113.6333,-24.8667,24.37,35,0,6.0,AU,1683506222
199,biharamulo,31.3089,-2.6319,15.64,88,100,1.51,TZ,1683506232
200,yerofey pavlovich,121.9667,53.9667,6.18,30,0,5.51,RU,1683506233
201,ushibukamachi,130.0228,32.1906,16.9,68,82,9.0,JP,1683506233
202,enshi,109.4833,30.3,14.4,90,100,0.69,CN,1683506233
203,maumere,122.2111,-8.6199,28.49,76,99,3.86,ID,1683506233
204,guymon,-101.4816,36.6828,32.0,6,0,7.72,US,1683506233
205,kapuskasing,-82.4331,49.4169,15.05,38,20,5.66,CA,1683506233
206,svetlyy,20.1347,54.675,5.54,74,12,3.26,RU,1683506234
